medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;TrialTimestamp;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on panel;Lucas Cranach the Elder;Portrait of a Young Man with a Beard and Red;https://upload.wikimedia.org/wikipedia/commons/4/4b/Lucas_Cranach_d._%C3%84._055.jpg;1521;Lucas_Cranach_d._%C3%84._055.jpg;1521;HHA96w;2016-06-10-10-47-19;2016-06-10 11:24:05.187633;1.0;5.0;[{'Start': (940, 45, 1.708008050918579), 'End': (548, 486, 2.921781063079834)}];3.9229040145874015;(683.0, 314.0);(415, 580)
oil on canvas transferred from wood;Lucas Cranach the Elder;Venus and Cupid;https://upload.wikimedia.org/wikipedia/commons/4/44/Lucas_Cranach_d.%C3%84._-_Venus_und_Amor_%28Hermitage%29.jpg;1509;Lucas_Cranach_d.%C3%84._-_Venus_und_Amor_%28Hermitage%29.jpg;1509;HHA96w;2016-06-03-16-32-59;2016-06-03 17:08:12.989782;0.0;6.0;[{'Start': (398, 85, 1.5588338375091553), 'End': (781, 535, 2.6335959434509277)}];3.41245985031128;(683.0, 314.0);(273, 580)
lime;Lucas Cranach the Elder;Venus and Cupid;https://upload.wikimedia.org/wikipedia/commons/4/47/Lucas_Cranach_d.%C3%84._-_Venus_und_Amor_%28Gem%C3%A4ldegalerie%2C_Berlin%29.jpg;1530;Lucas_Cranach_d.%C3%84._-_Venus_und_Amor_%28Gem%C3%A4ldegalerie%2C_Berlin%29.jpg;1530;HHA96w;2016-06-05-20-43-36;2016-06-05 21:05:08.860429;0.0;5.0;[{'End': (712, 491, 2.2430548667907715), 'Start': (495, 30, 1.5253448486328125)}];3.292180061340332;(683.0, 314.0);(210, 580)
oil on beech wood;Lucas Cranach the Elder;Venus in a Landscape;https://upload.wikimedia.org/wikipedia/commons/a/a0/Lucas_Cranach_d._%C3%84._072.jpg;1529;Lucas_Cranach_d._%C3%84._072.jpg;1529;HHA96w;2016-06-10-10-47-19;2016-06-10 11:01:43.524946;0.0;5.0;[{'Start': (925, 44, 1.8824710845947266), 'End': (594, 402, 2.8883612155914307)}];4.01108717918396;(683.0, 314.0);(378, 580)
mixed media on beech wood;Lucas Cranach the Elder;Venus;https://upload.wikimedia.org/wikipedia/commons/b/b3/Lucas_Cranach_d._%C3%84._071.jpg;1532;Lucas_Cranach_d._%C3%84._071.jpg;1532;HHA96w;nan;;;;nan;;nan;nan
oil on panel;Lucas Cranach the Younger;Portrait of Lucas Cranach the Elder;https://upload.wikimedia.org/wikipedia/commons/2/22/Lucas_Cranach_d._%C3%84._063.jpg;1550;Lucas_Cranach_d._%C3%84._063.jpg;1550;HHA96w;2016-06-03-16-32-59;2016-06-03 16:52:41.016870;0.0;6.0;[{'Start': (947, 45, 1.3511030673980713), 'End': (569, 462, 2.2992820739746094)}];4.058111906051637;(683.0, 314.0);(430, 580)
oil on copper transferred from wood;Lucas Cranach the Younger;Jesus Christ and the woman taken in adultery/Christ and the Adulteress detail;https://upload.wikimedia.org/wikipedia/commons/5/59/Lucas_Cranach_%28II%29_-_Christ_and_the_woman_taken_in_adultery_-_detail_-_Eremitage.jpg;after 1532;Lucas_Cranach_%28II%29_-_Christ_and_the_woman_taken_in_adultery_-_detail_-_Eremitage.jpg;1532;HHA96w;2016-06-05-19-42-57;2016-06-05 19:45:46.911973;1.0;5.0;[{'Start': (229, 81, 2.097170114517212), 'End': (884, 421, 3.6077399253845215)}];5.298084020614624;(683.0, 314.0);(511, 580)
oil on copper transferred from wood 1770;Lucas Cranach the Younger;Jesus Christ and the woman taken in adultery/Christ and the Adulteress;https://upload.wikimedia.org/wikipedia/commons/6/6d/Cranach_the_Younger%2C_Lucas_-_Christ_and_the_adulteress_-_detail.jpg;after 1532;Cranach_the_Younger%2C_Lucas_-_Christ_and_the_adulteress_-_detail.jpg;1532;HHA96w;2016-05-25-12-03-00;2016-05-25 12:28:38.550745;1.0;4.0;[{'Start': (348, 56, 2.9301679134368896), 'End': (733, 309, 3.6512110233306885)}];4.750273942947388;(683.0, 314.0);(351, 580)
oil on paper, on paperboard   and  on spruce wood;Lucas Cranach the Younger;Augustus, Elector of Saxony;https://upload.wikimedia.org/wikipedia/commons/3/3d/Lucas_Cranach_d._J._004.jpg;1564;Lucas_Cranach_d._J._004.jpg;1564;HHA96w;nan;;;;nan;;nan;nan
on lime;Lucas Cranach the Younger;Female Portrait / Portrait of a Woman (a Hoffmann by birth from Leipzig?);https://upload.wikimedia.org/wikipedia/commons/b/bb/Lucas_Cranach_d._J._005.jpg;1564;Lucas_Cranach_d._J._005.jpg;1564;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Walter Crane;Neptune's Horses;https://upload.wikimedia.org/wikipedia/commons/b/b4/Walter_Crane_001.jpg;1892;Walter_Crane_001.jpg;1892;HHA96w;2016-05-25-12-03-00;2016-05-25 12:07:44.238161;1.0;0.0;[];7.373427867889402;(683.0, 314.0);(1100, 436)
oil on canvas;Alessandro Allori;The Sacrifice of Isaacl;https://upload.wikimedia.org/wikipedia/commons/c/ce/Cristofano_Allori_001.jpg;1601;Cristofano_Allori_001.jpg;1601;HHA96w;2016-05-30-11-52-19;2016-05-30 12:12:35.590135;1.0;4.0;[{'End': (577, 488, 5.800787925720215), 'Start': (1135, 58, 4.886716842651367)}];6.555173873901367;(683.0, 314.0);(811, 580)
oil on canvas;Cristofano Allori;Judith with the Head of Holophernes;https://upload.wikimedia.org/wikipedia/commons/5/54/Cristofano_Allori_002.jpg;between circa 1610 and circa 1612;Cristofano_Allori_002.jpg;1612;HHA96w;2016-06-05-19-42-57;2016-06-05 20:06:46.239204;1.0;5.0;[{'Start': (889, 13, 1.9876999855041504), 'End': (557, 517, 3.2801921367645264)}];6.028449058532715;(683.0, 314.0);(468, 580)
tempera on poplar wood;Carlo Crivelli;Altartriptychon, linker Aufsatz: Verkündigungsengel;https://upload.wikimedia.org/wikipedia/commons/5/50/Carlo_Crivelli_-_Angel_of_the_Annunciation_%28St%C3%A4del_Frankfurt%29.jpg;1482;Carlo_Crivelli_-_Angel_of_the_Annunciation_%28St%C3%A4del_Frankfurt%29.jpg;1482;HHA96w;nan;;;;nan;;nan;nan
oil on oak;Aelbert Cuyp;Peasants with Four Cows by the River Merwede;https://upload.wikimedia.org/wikipedia/commons/9/99/Cuyp%2C_Aelbert_-_Peasants_and_Cattle_by_the_River_Merwede.jpg;between circa 1658 and circa 1660;Cuyp%2C_Aelbert_-_Peasants_and_Cattle_by_the_River_Merwede.jpg;1660;HHA96w;2016-06-05-20-43-36;2016-06-05 20:50:50.873821;1.0;5.0;[{'End': (760, 496, 5.5076799392700195), 'Start': (381, 2, 4.561059951782227)}];6.428385972976685;(683.0, 314.0);(794, 580)
oil on canvas;Francisco Goya;Spanish:;https://upload.wikimedia.org/wikipedia/commons/4/47/C%C3%B3micos_ambulantes.jpg;1793;C%C3%B3micos_ambulantes.jpg;1793;HHA96w;2016-06-10-10-47-19;2016-06-10 11:08:50.297101;1.0;5.0;[{'Start': (1033, 127, 7.421506881713867), 'End': (590, 436, 8.354419946670532)}];9.650795936584473;(683.0, 314.0);(430, 580)
Fresko mit Öltempera;Leonardo da Vinci;Azərbaycanca:;https://upload.wikimedia.org/wikipedia/commons/e/eb/Da_Vin%C3%A7i_%C5%9Eifr%C9%99si_-_M%C3%BCq%C9%99dd%C9%99s_Kuz%C9%99-001.jpg;1495-1497;Da_Vin%C3%A7i_%C5%9Eifr%C9%99si_-_M%C3%BCq%C9%99dd%C9%99s_Kuz%C9%99-001.jpg;1497;HHA96w;nan;;;;nan;;nan;nan
oil on pine wood;Daniel Chodowiecki;Die Wochenstube;https://upload.wikimedia.org/wikipedia/commons/9/97/Daniel_Nikolaus_Chodowiecki_001.jpg;1770;Daniel_Nikolaus_Chodowiecki_001.jpg;1770;HHA96w;2016-06-10-09-43-06;2016-06-10 10:18:02.526933;1.0;5.0;[{'End': (585, 468, 5.924843072891235), 'Start': (995, 153, 3.9095661640167236)}];7.187669038772582;(683.0, 314.0);(461, 580)
oil on canvas;Daniel Schultz;Detail of the;https://upload.wikimedia.org/wikipedia/commons/3/3b/Daniel_Schultz_d._J._001.jpg;1664;Daniel_Schultz_d._J._001.jpg;1664;HHA96w;2016-05-30-11-52-19;2016-05-30 12:14:08.093021;1.0;4.0;[{'End': (628, 433, 2.5752711296081543), 'Start': (911, 66, 1.8187050819396973)}];3.4320850372314453;(683.0, 314.0);(379, 580)
oil on canvas;Daniel Schultz;Detail of the;https://upload.wikimedia.org/wikipedia/commons/7/74/Daniel_Schultz_d._J._002.jpg;1664;Daniel_Schultz_d._J._002.jpg;1664;HHA96w;2016-06-12-17-46-29;2016-06-12 17:53:13.193591;1.0;5.0;[{'Start': (937, 64, 1.9113178253173828), 'End': (589, 485, 2.6331639289855957)}];3.700236797332764;(683.0, 314.0);(386, 580)
oil on canvas;Daniel Schultz;Detail of the;https://upload.wikimedia.org/wikipedia/commons/4/47/Daniel_Schultz_d._J._003.jpg;1664;Daniel_Schultz_d._J._003.jpg;1664;HHA96w;2016-06-10-10-47-19;2016-06-10 11:33:47.052888;1.0;5.0;[{'Start': (1024, 46, 1.4986929893493652), 'End': (697, 462, 2.362352132797241)}];3.3641300201416016;(683.0, 314.0);(507, 580)
oil on canvas;Daniele da Volterra;Der Prophet Elias;https://upload.wikimedia.org/wikipedia/commons/e/ea/Daniele_da_Volterra_001.jpg;1550-1560;Daniele_da_Volterra_001.jpg;1560;HHA96w;2016-06-10-10-47-19;2016-06-10 11:41:48.725463;0.0;5.0;[{'Start': (175, 51, 1.4780139923095703), 'End': (796, 443, 2.5381100177764893)}];3.4692859649658203;(683.0, 314.0);(826, 580)
fresco;Daniele da Volterra;The Deposition;https://upload.wikimedia.org/wikipedia/commons/f/ff/Daniele_da_Volterra_002.jpg;1541;Daniele_da_Volterra_002.jpg;1541;HHA96w;2016-06-05-19-42-57;2016-06-05 19:45:52.548727;0.0;5.0;[{'Start': (343, 95, 3.4548540115356445), 'End': (745, 482, 4.101435899734497)}];4.982547044754028;(683.0, 314.0);(392, 580)
fresco;Daniele da Volterra;Fresko in der Kapelle Orsini di Trinità de Monti, Szene: Kreuzabnahme, Detail;https://upload.wikimedia.org/wikipedia/commons/f/f3/Daniele_da_Volterra_003.jpg;1541;Daniele_da_Volterra_003.jpg;1541;HHA96w;2016-05-30-11-52-19;2016-05-30 12:14:34.800748;1.0;0.0;[];2.9186229705810547;(683.0, 314.0);(407, 580)
fresco;Daniele da Volterra;Fresko in der Kapelle Orsini di Trinità dei Monti, Szene: Kreuzabnahme, Detail;https://upload.wikimedia.org/wikipedia/commons/2/2e/Daniele_da_Volterra_004.jpg;1541;Daniele_da_Volterra_004.jpg;1541;HHA96w;2016-06-24-12-39-28;2016-06-24 12:46:12.444026;1.0;0.0;[];1.765726089477539;(683.0, 314.0);(423, 580)
Holz;Dante Gabriel Rossetti;Dantis Amor;https://upload.wikimedia.org/wikipedia/commons/d/da/Dante_Gabriel_Rossetti_002.jpg;1859;Dante_Gabriel_Rossetti_002.jpg;1859;HHA96w;2016-06-10-10-47-19;2016-06-10 11:38:00.231997;1.0;0.0;[];1.7879300117492676;(683.0, 314.0);(613, 580)
pastel and charcoal;Dante Gabriel Rossetti;The daydream;https://upload.wikimedia.org/wikipedia/commons/9/9b/Dante_Gabriel_Rossetti_003.jpg;1872-1878;Dante_Gabriel_Rossetti_003.jpg;1878;HHA96w;2016-05-27-10-50-06;2016-05-27 11:00:02.599277;0.0;4.0;[{'End': (674, 191, 4.617749929428101), 'Start': (1004, 535, 3.7170090675354004)}];6.501020908355713;(683.0, 314.0);(420, 580)
oil on canvas;Dante Gabriel Rossetti;Die Erziehung der jungen Maria;https://upload.wikimedia.org/wikipedia/commons/f/fd/Dante_Gabriel_Rossetti_004.jpg;1849;Dante_Gabriel_Rossetti_004.jpg;1849;HHA96w;nan;;;;nan;;nan;nan
watercolor;Dante Gabriel Rossetti;The wedding of Saint George and Princess Sabra;https://upload.wikimedia.org/wikipedia/commons/7/7b/Dante_Gabriel_Rossetti_005.jpg;1857;Dante_Gabriel_Rossetti_005.jpg;1857;HHA96w;2016-06-24-12-39-28;2016-06-24 12:39:43.656868;0.0;0.0;[];1.941746950149536;(683.0, 314.0);(566, 580)
Papier;Daudia;Râgmâlâ-Serie, Szene: Liebespaar;https://upload.wikimedia.org/wikipedia/commons/c/cb/Daudia_001.jpg;1682;Daudia_001.jpg;1682;HHA96w;2016-06-05-20-43-36;2016-06-05 20:52:21.933409;1.0;0.0;[];1.9004669189453125;(683.0, 314.0);(424, 580)
oil on canvas;David Cox;Der Strand von Rhyl;https://upload.wikimedia.org/wikipedia/commons/f/ff/David_Cox_-_Rhyl_Sands_%28Manchester_version%29.jpg;1854;David_Cox_-_Rhyl_Sands_%28Manchester_version%29.jpg;1854;HHA96w;2016-06-10-09-43-06;2016-06-10 09:59:45.295310;0.0;4.0;[{'End': (738, 427, 3.8533620834350586), 'Start': (1148, 66, 2.5546469688415527)}];5.1703360080718985;(683.0, 314.0);(807, 580)
oil on canvas;David Roberts;العربية:;https://upload.wikimedia.org/wikipedia/commons/a/a5/David_Roberts_001.jpg;1830;David_Roberts_001.jpg;1830;HHA96w;2016-06-10-10-47-19;2016-06-10 11:41:01.487202;1.0;5.0;[{'Start': (169, 113, 2.047638177871704), 'End': (828, 464, 5.189288139343262)}];6.954880952835082;(683.0, 314.0);(827, 580)
oil on panel;David Roberts;Der Eingang zum goldenen Tempel in Baalbeck;https://upload.wikimedia.org/wikipedia/commons/1/14/David_Roberts_002.jpg;1841;David_Roberts_002.jpg;1841;HHA96w;2016-06-10-10-47-19;2016-06-10 10:50:06.394825;1.0;5.0;[{'Start': (992, 75, 2.045254945755005), 'End': (491, 552, 3.2479050159454346)}];4.1945459842681885;(683.0, 314.0);(472, 580)
oil on canvas;David Roberts;Der Tempel der Dendera;https://upload.wikimedia.org/wikipedia/commons/9/94/David_Roberts_003.jpg;1841;David_Roberts_003.jpg;1841;HHA96w;2016-06-12-18-25-41;2016-06-12 18:57:57.981903;0.0;6.0;[{'End': (736, 473, 6.037859916687012), 'Start': (123, 23, 3.19364595413208)}];7.101018905639648;(683.0, 314.0);(1032, 580)
oil on canvas;David Teniers the Younger;Country kermis.;https://upload.wikimedia.org/wikipedia/commons/c/cc/David_Teniers_d._J._001.jpg;1640-1660 (1625-1690;David_Teniers_d._J._001.jpg;1690;HHA96w;2016-06-03-16-32-59;2016-06-03 17:31:10.946706;1.0;4.0;[{'Start': (1168, 76, 2.191222906112671), 'End': (550, 531, 3.2945330142974854)}];5.077680826187134;(683.0, 314.0);(808, 580)
oil on canvas;David Teniers the Younger;Die fünf Sinne;https://upload.wikimedia.org/wikipedia/commons/1/16/David_Teniers_d._J._002.jpg;between 1634 and 1666;David_Teniers_d._J._002.jpg;1666;HHA96w;2016-06-05-20-43-36;2016-06-05 20:45:11.793937;1.0;4.0;[{'End': (700, 436, 3.2600491046905518), 'Start': (957, 278, 2.1651060581207275)}, {'End': (944, 388, 39.70479893684387), 'Start': (700, 436, 4.830358028411865)}, {'End': (550, 502, 41.206799030303955), 'Start': (1063, 143, 40.45097994804382)}];42.04412794113159;(683.0, 314.0);(433, 580)
oil on copper;David Teniers the Younger;Galerie des Erzherzogs Leopold Wilhelm in Brüssel;https://upload.wikimedia.org/wikipedia/commons/b/bb/David_Teniers_d._J._004.jpg;from 1651 until 1653;David_Teniers_d._J._004.jpg;1653;HHA96w;2016-06-12-17-46-29;2016-06-12 18:03:00.159523;1.0;5.0;[{'Start': (1126, 550, 3.129149913787842), 'End': (542, 388, 4.536068916320801)}];5.5390069484710684;(683.0, 314.0);(710, 580)
oil on panel;David Teniers the Younger;Still Life;https://upload.wikimedia.org/wikipedia/commons/8/8d/David_Teniers_d._J._006.jpg;1645-1650;David_Teniers_d._J._006.jpg;1650;HHA96w;nan;;;;nan;;nan;nan
oil on copper;Alberto Otero Herranz;The Temptation of St. Anthony;https://upload.wikimedia.org/wikipedia/commons/3/39/David_Teniers_d._J._007.jpg;between 1633 and 1667;David_Teniers_d._J._007.jpg;1667;HHA96w;nan;;;;nan;;nan;nan
oil on panel;Rembrandt;David with the head of Goliath before Saul;https://upload.wikimedia.org/wikipedia/commons/6/61/David_with_the_Head_of_Goliath_before_Saul%2C_before_Rembrandt.jpg;1627;David_with_the_Head_of_Goliath_before_Saul%2C_before_Rembrandt.jpg;1627;HHA96w;2016-06-12-18-25-41;2016-06-12 19:16:56.273392;1.0;5.0;[{'End': (853, 472, 3.493588924407959), 'Start': (228, 41, 2.402884006500244)}];4.400345087051392;(683.0, 314.0);(841, 580)
oil on oak;Gerard David;The lamentation over the dead Christ;https://upload.wikimedia.org/wikipedia/commons/8/87/Gerard_David_008.jpg;2015 1515-1523;Gerard_David_008.jpg;1523;HHA96w;2016-06-12-18-25-41;2016-06-12 19:07:15.126867;1.0;5.0;[{'End': (839, 504, 6.707371950149536), 'Start': (324, 41, 5.431962013244629)}];8.182474851608276;(683.0, 314.0);(567, 580)
null;Christian Gottlob Hammer;null;https://upload.wikimedia.org/wikipedia/commons/e/e6/DD-Sophienkirche1850.jpg;1850;DD-Sophienkirche1850.jpg;1850;HHA96w;2016-05-29-20-23-22;2016-05-29 20:38:57.031726;1.0;5.0;[{'Start': (1052, 569, 3.2944750785827637), 'End': (493, 353, 7.016486167907715)}];8.385196208953857;(683.0, 314.0);(467, 580)
color on wood;Defendente Ferrari;Der zwölfjährige Christus im Tempel;https://upload.wikimedia.org/wikipedia/commons/b/bd/Defendente_Ferrari_001.jpg;1526;Defendente_Ferrari_001.jpg;1526;HHA96w;2016-06-10-09-43-06;2016-06-10 09:43:58.395731;1.0;5.0;[{'End': (729, 538, 3.3469910621643066), 'Start': (462, 49, 2.2613790035247803)}];4.369180917739868;(683.0, 314.0);(252, 580)
oil on canvas;Balthasar Denner;Portrait of an Old Woman;https://upload.wikimedia.org/wikipedia/commons/4/4e/Balthasar_Denner_-_Portrait_of_an_old_woman_%28Eremitage%29.jpg;from 1720 until 1745;Balthasar_Denner_-_Portrait_of_an_old_woman_%28Eremitage%29.jpg;1745;HHA96w;2016-06-10-09-43-06;2016-06-10 09:47:24.934153;1.0;5.0;[{'End': (557, 477, 4.3400139808654785), 'Start': (1086, 107, 2.828267812728882)}];5.310835838317871;(683.0, 314.0);(475, 580)
Holz;Derick Baegert;Kreuzigung, Detail: Der Hauptmann unter dem Kreuz, Fragment;https://upload.wikimedia.org/wikipedia/commons/7/7f/Derick_Baegert_001.jpg;1477-1482;Derick_Baegert_001.jpg;1482;HHA96w;2016-06-03-16-32-59;2016-06-03 17:09:39.348207;0.0;4.0;[{'Start': (429, 101, 1.5869019031524658), 'End': (778, 560, 2.261343002319336)}];4.232989072799684;(683.0, 314.0);(363, 580)
color on paper mounted on wood;Hans Holbein the Younger;Porträt des Erasmus von Rotterdam;https://upload.wikimedia.org/wikipedia/commons/e/e8/Desidrius_Erasmus_by_Hans_Holbein.jpg;1523;Desidrius_Erasmus_by_Hans_Holbein.jpg;1523;HHA96w;2016-06-10-10-47-19;2016-06-10 11:01:47.856223;1.0;5.0;[{'Start': (958, 55, 3.9488818645477295), 'End': (713, 490, 5.9078638553619385)}];6.824204921722412;(683.0, 314.0);(439, 580)
Öl auf Kupfer;Deutscher Maler;Schauspielhaus am Gendarmenmarkt in Berlin;https://upload.wikimedia.org/wikipedia/commons/0/07/Deutscher_Maler_001.jpg;1821;Deutscher_Maler_001.jpg;1821;HHA96w;nan;;;;nan;;nan;nan
Holz;Deutscher Meister um 1600;Wappenscheibe der Stadt Straßburg;https://upload.wikimedia.org/wikipedia/commons/c/c2/Deutscher_Meister_um_1600_001.jpg;1606;Deutscher_Meister_um_1600_001.jpg;1606;HHA96w;2016-05-27-10-50-06;2016-05-27 11:16:34.248533;1.0;0.0;[];1.3082680702209473;(683.0, 314.0);(542, 580)
Tempera auf Holz;Deutscher Meister um 1650;Stilleben mit Schrank für Flaschen und Bücher;https://upload.wikimedia.org/wikipedia/commons/6/67/Deutscher_Meister_um_1650_001.jpg;1650;Deutscher_Meister_um_1650_001.jpg;1650;HHA96w;2016-05-15-14-39-23;2016-05-15 14:45:15.004087;1.0;3.0;[{'End': (614, 205, 11.232172966003418), 'Start': (951, 196, 9.268556118011475)}];12.846821069717407;(683.0, 314.0);(437, 580)
fresco;Giotto;Freskenzyklus zum Leben des Hl. Franziskus von Assisi, Szene: Die Verteibung der Teufel aus Arezzo, Detail: Teufel über Stadtlandschaft;https://upload.wikimedia.org/wikipedia/commons/d/d2/Diavoli_giotto_1.jpg;1296-1298;Diavoli_giotto_1.jpg;1298;HHA96w;nan;;;;nan;;nan;nan
fresco;Giotto;Freskenzyklus zum Leben des Hl. Franziskus von Assisi, Szene: Die Verteibung der Teufel aus Arezzo, Detail: Teufel über Stadtlandschaft;https://upload.wikimedia.org/wikipedia/commons/9/91/Diavoli_giotto_2.jpg;1296-1298;Diavoli_giotto_2.jpg;1298;HHA96w;2016-06-24-12-39-28;2016-06-24 13:11:30.494926;0.0;5.0;[{'Start': (239, 92, 3.7204740047454834), 'End': (924, 537, 4.753105163574219)}];5.523202180862427;(683.0, 314.0);(645, 580)
fresco;Giotto;Freskenzyklus zum Leben des Hl. Franziskus von Assisi, Szene: Die Verteibung der Teufel aus Arezzo, Detail: Teufel über Stadtlandschaft;https://upload.wikimedia.org/wikipedia/commons/8/8c/Diavoli_giotto_3.jpg;1296-1298;Diavoli_giotto_3.jpg;1298;HHA96w;2016-06-10-09-43-06;2016-06-10 10:08:19.141047;0.0;0.0;[];1.6842670440673828;(683.0, 314.0);(710, 580)
fresco;Giotto;Freskenzyklus zum Leben des Hl. Franziskus von Assisi, Szene: Die Verteibung der Teufel aus Arezzo, Detail: Teufel über Stadtlandschaft;https://upload.wikimedia.org/wikipedia/commons/6/65/Diavoli_giotto_4.jpg;1296-1298;Diavoli_giotto_4.jpg;1298;HHA96w;2016-06-10-10-47-19;2016-06-10 11:29:59.142197;1.0;0.0;[];1.7604460716247559;(683.0, 314.0);(509, 580)
fresco;Giotto;Freskenzyklus zum Leben des Hl. Franziskus von Assisi, Szene: Die Verteibung der Teufel aus Arezzo, Detail: Teufel über Stadtlandschaft;https://upload.wikimedia.org/wikipedia/commons/8/8f/Diavoli_giotto.jpg;1296-1298;Diavoli_giotto.jpg;1298;HHA96w;2016-05-27-10-50-06;2016-05-27 11:13:06.320162;0.0;5.0;[{'End': (717, 468, 3.458509922027588), 'Start': (1156, 155, 2.773844003677368)}];4.875141859054565;(683.0, 314.0);(780, 580)
oil on canvas;Gustave Courbet;Die Hängematte;https://upload.wikimedia.org/wikipedia/commons/3/3a/Die_H%C3%A4ngematte.jpg;1844;Die_H%C3%A4ngematte.jpg;1844;HHA96w;2016-05-27-10-50-06;2016-05-27 11:08:27.967407;1.0;5.0;[{'End': (804, 373, 7.018963098526001), 'Start': (228, 65, 5.926877021789551)}];7.880970001220702;(683.0, 314.0);(801, 580)
oil on canvas;Diego Velázquez;Porträt der Infantin Maria Anna von Österreich;https://upload.wikimedia.org/wikipedia/commons/b/b9/Diego_Vel%C3%A1zquez_-_Maria_Anna_of_Spain_-_Prado.jpg;1628;Diego_Vel%C3%A1zquez_-_Maria_Anna_of_Spain_-_Prado.jpg;1628;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Anbetung der Heiligen Drei Könige (Epiphanias);https://upload.wikimedia.org/wikipedia/commons/c/c5/Diego_Vel%C3%A1zquez_001.jpg;1619;Diego_Vel%C3%A1zquez_001.jpg;1619;HHA96w;2016-06-10-10-47-19;2016-06-10 11:30:15.380052;1.0;5.0;[{'Start': (786, 0, 1.9225499629974365), 'End': (638, 432, 2.6726419925689697)}];3.684506893157959;(683.0, 314.0);(355, 580)
oil on canvas;J.B. Martínez del Mazo;Ansicht von Saragossa;https://upload.wikimedia.org/wikipedia/commons/a/ab/Diego_Vel%C3%A1zquez_002.jpg;1647;Diego_Vel%C3%A1zquez_002.jpg;1647;HHA96w;2016-06-10-09-43-06;2016-06-10 10:15:33.597860;1.0;5.0;[{'End': (407, 508, 6.718908786773682), 'Start': (1238, 97, 5.442222833633423)}];7.812516927719116;(683.0, 314.0);(1037, 580)
oil on canvas;Diego Velázquez;Äsop;https://upload.wikimedia.org/wikipedia/commons/e/ed/Diego_Vel%C3%A1zquez_003.jpg;1639-1640;Diego_Vel%C3%A1zquez_003.jpg;1640;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Bauern beim Mahl;https://upload.wikimedia.org/wikipedia/commons/f/f3/Diego_Vel%C3%A1zquez_004.jpg;1618-1619;Diego_Vel%C3%A1zquez_004.jpg;1619;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Bauern beim Mahl (»El Almuerzo«);https://upload.wikimedia.org/wikipedia/commons/a/a6/Diego_Vel%C3%A1zquez_005.jpg;1618-1619;Diego_Vel%C3%A1zquez_005.jpg;1619;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Christus am Kreuz;https://upload.wikimedia.org/wikipedia/commons/5/56/Diego_Vel%C3%A1zquez_007.jpg;1632;Diego_Vel%C3%A1zquez_007.jpg;1632;HHA96w;2016-06-12-18-25-41;2016-06-12 18:48:17.946151;1.0;5.0;[{'End': (592, 500, 2.454127073287964), 'Start': (965, 60, 1.675710916519165)}];3.3360419273376465;(683.0, 314.0);(389, 580)
oil on canvas;Diego Velázquez;Spanish:;https://upload.wikimedia.org/wikipedia/commons/0/00/Diego_Vel%C3%A1zquez_008.jpg;1618;Diego_Vel%C3%A1zquez_008.jpg;1618;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Christus in Emmaus;https://upload.wikimedia.org/wikipedia/commons/f/f4/Diego_Vel%C3%A1zquez_009.jpg;1618;Diego_Vel%C3%A1zquez_009.jpg;1618;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Der Hl. Antonius, der Abt und Hl. Paulus, der Eremit;https://upload.wikimedia.org/wikipedia/commons/1/1f/Diego_Vel%C3%A1zquez_010.jpg;1635-1638;Diego_Vel%C3%A1zquez_010.jpg;1638;HHA96w;2016-05-15-14-39-23;2016-05-15 14:45:42.102627;1.0;0.0;[];2.185467004776001;(683.0, 314.0);(411, 580)
oil on canvas;Diego Velázquez;Der Wasserverkäufer von Sevilla;https://upload.wikimedia.org/wikipedia/commons/a/ad/Diego_Vel%C3%A1zquez_011.jpg;1622;Diego_Vel%C3%A1zquez_011.jpg;1622;HHA96w;2016-06-12-18-25-41;2016-06-12 18:32:26.867384;1.0;5.0;[{'End': (639, 462, 4.190995931625366), 'Start': (974, 50, 2.772059917449951)}];5.218407869338988;(683.0, 314.0);(433, 580)
oil on canvas;Diego Velázquez;Die Schmiede Vulkans;https://upload.wikimedia.org/wikipedia/commons/4/46/Diego_Vel%C3%A1zquez_013.jpg;1630;Diego_Vel%C3%A1zquez_013.jpg;1630;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Diego Velázquez;Die Spinnerinnen;https://upload.wikimedia.org/wikipedia/commons/9/98/Diego_Vel%C3%A1zquez_014.jpg;1644-1648;Diego_Vel%C3%A1zquez_014.jpg;1648;HHA96w;2016-05-15-14-39-23;2016-05-15 14:44:20.753329;1.0;0.0;[];3.688533067703247;(683.0, 314.0);(768, 580)
